GeneA	GeneB	Class	From	Recs.add	Recs.sub	EssgCom	GOSemSim_MF	GOSemSim_BP	GOSemSim_CC	GeneMANIAGG	HI.add	HI.sub	BioDis	LofIn.add	LofIn.sub	BioGRIDPP	STRINGPP	REAC_FI	PS_2DbJacSim	HighexpPer	Abundance.add	Abundance.sub	COXPRESdbMRvalue	DOSemSim
EDC4	UBFD1	0	Coding_Random	0.270618	0.053354	0	0.5089548	0.22460784	0.5578642	0	0.364	0.144	0.06056	1.834894	0.155498	0	0	0	0	0.4615	0.001111	0.000955	0.362	0.06164997
PCOLCE	TTPA	0	Coding_Random	0.737712	0.440076	0	0.442	0.225	0.151	0	0.922	0.624	0.186504	0.510549	0.490781	0	0	0	0	0	0.000693	0.001205	0.6215	0
OR2T34	MMP24OS	0	Coding_Random	0.3612481	0.13715509	0	0.3456623	0.17574339	0.40538815	3.5471523e-06	0.49114817	0.2406458	0.0961512	0.5431773	0.38104054	0	0.007190491	0.0005160313	0.002391592	0.12610126	0.0009765517	0.0015727107	0.48387012	0.059797287
CD200R1	KMT2D	0	Coding_Random	0.29424605	0.09572736	0	0.39	0.213	0.267	0	0.3990334	0.22534275	0.184177	1	1	0	0	0	0	0.1667	3.9e-05	2.7e-05	0.5262	0
SIRPB2	CEMIP	0	Coding_Random	0.40444037	0.16088974	0	0.42071798	0.19144365	0.43945745	0	0.5829187	0.28079927	0.08511828	0.66286045	0.4257657	0	0	0	0	0.2727	4e-06	1e-06	0.5394	0.10052501
TET3	RLN2	0	Coding_Random	0.394006	0.13488308	0	0	0.212	0.234	0	1.015	0.635	0.202714	0.999993	0.999892	0	0	0	0	0.125	2e-06	1e-06	0.579	0.517
PRR11	CRIP3	0	Coding_Random	0.39000472	0.14788271	0	0.3154677	0.16789234	0.3482374	0	0.606	0.306	0.10275162	0.033906	0.033899	0	0	0	0.0012798444	0.0909	2.1e-05	9e-06	0.5163	0.0669542
TMEM202	DNAH7	0	Coding_Random	0.29795444	0.09892184	0	0.25192475	0.12587951	0.30442137	0	0.325	0.063	0.10980685	1e-06	1e-06	0	0	0	0.0016352716	0.0714	0	0	0.4917607	0.034901097
POT1	PTPRQ	0	Coding_Random	0.266578	0.056637	1	0	0.177	0	0	0.478	0.19	0.0929	0.56263715	0.39967626	0	0	0	0	0.3125	0.0015649642	0.002772886	0.5143	0
PAM16	TTC17	0	Coding_Random	0.3760702	0.13400668	0	1	0.167	0.352	0	0.72528195	0.34248975	0.068477	1.143739	0.855716	0	0	0	0	0.3077	0.000257	0.000437	0.4714	0
ELOVL2	SCNN1A	0	Coding_Random	0.469614	0.110491	1	0.578	0.151	0.381	0	1.831	0.113	0.06016	0.000208	0.000189	0	0	0	0	0	5e-06	8e-06	0.6581	0
ATP4B	LRRC71	0	Coding_Random	0.32847223	0.106846	0	0.23553346	0.16886249	0.4125908	0	0.35411483	0.14550324	0.11015284	0.009068	0.009031	0	0	0	0	0	8e-06	1e-06	0.2919	0.046396866
OR52R1	GRAMD1A	0	Coding_Random	0.29818755	0.091203876	0	0.143	0	0.521	1.4566967e-06	0.216	0.018	0.113421	0.568388	0.568374	0	0	0	0	0.11364849	0.0011763495	0.002004082	0.4885771	0
SPTA1	WDTC1	0	Coding_Random	0.235829	0.062095	2	1	0.498	0.361	0	1.144	0.826	0.08357474	0.999366	0.999249	0	0	0	0	0.0909	0.0013043868	0.002253853	0.4028	0
ZBTB49	POLK	0	Coding_Random	0.3209877	0.10285585	0	0.141	0.264	0.701	0	0.43684307	0.18366869	0.108156	0.009165	0.009164	0	0	0	0	0.2857	6e-06	9e-06	0.52	0
GPR151	TRPM2	0	Coding_Random	0.195713	0.001161	0	0.401	0.745	1	0	0.264	0.102	0.08388355	1.1e-05	1.1e-05	0	0	0.005049165	0	0	1.6e-05	2.7e-05	0.48555493	0
METTL15	NCAM2	0	Coding_Random	0.3546587	0.13207394	0	0.083	0.039	0	0	0.5602409	0.29213917	0.068477	0.922313	0.922002	0	0	0	0	0.087	0.000138	4e-06	0.3164	0
RBFOX1	LIMK1	0	Coding_Random	0.4204492	0.14778186	0	0.57	0.284	0.742	0	0.86192983	0.3064832	0.095715	1.926857	0.054935	0	0	0	0	0.4118	5.8e-05	6e-06	0.385	0.189
TRIM74	TPCN1	0	Coding_Random	0.20889953	0.03096436	0	0	0	0.574	0	0.255	0.103	0.1052785	0.784193	0.776475	0	0	0	0	0.5	2.1e-05	3.1e-05	0.42786846	0
MGAT5	ABCA4	0	Coding_Random	0.972322	0.197058	0	0.134	0.247	0.722	0	0.169	0.003	0.079204924	0.999925	0.999925	0	0	0	0	0.0667	1e-05	2e-06	0.4155	0.087
MEIS3	RAE1	0	Coding_Random	0.35346666	0.13083096	1	0.375	0	0	0	0.645	0.345	0.066612	0.991283	0.991056	0	0	0	0	0.1111	0.000963	0.001666	0.5165	0
TXNDC2	LTB4R2	0	Coding_Random	0.3914983	0.14839032	0	0.09	0.272	0.425	0	0.164	0.104	0.080232	0.000268	0.000267	0	0	0	0	0	1e-06	1e-06	0.6071	0.247
SLCO2A1	SCNM1	0	Coding_Random	0.289054	0.063635	1	0.161	0.038	0.236	0	0.204	0.02	0.120331	4.7e-05	4.7e-05	0	0	0	0	0.15	2.4e-05	2.9e-05	0.553	0
ANKFN1	SIPA1L1	0	Coding_Random	0.4480004	0.16339795	0	0.40142858	0.18812418	0.47064182	0	0.794	0.054	0.08404595	1.000004	0.999996	0	0	0	0	0.0833	3.1e-05	4.6e-05	0.5281	0.11284398
OR2T34	MS4A5	0	Coding_Random	0.37173814	0.14585441	0	0.32669732	0.17374109	0.39004186	0	0.5246186	0.2864684	0.09695282	0.756175	0.737766	0	0	0	0	0	6e-06	1.1e-05	0.5201942	0.06383464
KCND2	SLFN14	0	Coding_Random	0.32502267	0.10671788	1	0.171	0.187	0.296	0	0.4983913	0.23354022	0.10313044	0.5871312	0.43598422	0	0	0	0	0	4.2e-05	7.2e-05	0.599	0
C18orf54	ZSCAN10	0	Coding_Random	0.183705	0.026416	0	0.328	0	0	0	0.44	0.334	0.133522	0.006072	0.00606	0	0	0	6.250524e-05	0	5e-06	9e-06	0.5298	0
DZANK1	DOCK2	0	Coding_Random	0.31015998	0.09740038	0	0.30888307	0.13712479	0.36916605	0	0.53189385	0.26671907	0.133522	1	1	0	0	0	0	0.0769	0.0011506248	0.0019351108	0.4889	0.031133553
ANKRD18A	FGD5	0	Coding_Random	0.35009336	0.12935188	0	0.32793683	0.17098968	0.40342623	0	0.172	0.132	0.071913	0.995333	0.993441	0	0	0	0	0.0556	1e-05	1.1e-05	0.5963	0.043702368
N4BP2L2	FAM118B	0	Coding_Random	0.16851	0.045731	0	1	0	0	0	0.307	0.035	0.097094	0.39043	0.390424	0	0	0	0	0.05	4.1e-05	6.1e-05	0.5301	0
ZNF407	CTNNA3	0	Coding_Random	0.32093957	0.08486753	0	0.181	0.147	0.074	0	0.279	0.013	0.125841	0.999996	0.999996	0	0.171	0.03927365	0	0.0455	0.0009801011	0.001656032	0.5095	0
EEF1AKMT2	HLA-DPB1	0	Coding_Random	0.31357503	0.098922044	0	0.119	0.052	0.402	0	0.46036258	0.21388598	0.10587823	0.49477646	0.38048047	0	0	0	0	0.1053	0.000359	0.000589	0.5434	0
ALDH3B1	SLC4A9	0	Coding_Random	0.275797	0.056792	0	0.061	0.153	0.475	0	0.362	0.086	0.12225326	3.9e-05	3.9e-05	0	0	0	0	0	0.002183625	0.0037744872	0.4268	0
C18orf63	ZBED6CL	0	Coding_Random	0.36303675	0.13729289	0	0.29775777	0.17676504	0.38952175	9.275291e-07	0.49320126	0.22637148	0.10044466	0.582674	0.41314203	0	0	0	0.002147719	0	0.0011858817	0.0019930438	0.51132655	0.06813336
ADGRB3	RGL4	0	Coding_Random	0.2986415	0.094256386	0	0	0	0	0	0.41678047	0.18786934	0.1316119	0.44849724	0.37445924	0	0	0	0	0.1111	1e-06	0	0.5262	0
LINGO4	LSM14A	0	Coding_Random	0.388213	0.147537	0	0.28398466	0.14515118	0.32947522	0	0.89	0.692	0.132398	0.386774	0.381066	0	0	0	0	0.1111	0.000823	0.001449	0.5416	0.05919003
LIPE	RABEPK	0	Coding_Random	0.617045	0.446777	0	0	0.087	0.646	0	0.24	0.104	0.108383	4e-06	4e-06	0	0	0	0	0.0909	0.000439	0.000539	0.5325	0
FAM167A	MYO1E	0	Coding_Random	0.213067	0.050002	1	0.24005683	0.103426754	0.16682947	0	0.15230446	0.03667998	0.226714	0.048171	0.047785	0	0	0	0	0.1	0.000755	0.001335	0.3644	0
C3orf20	PSAP	0	Coding_Random	0.31719688	0.09386482	1	0.32772362	0.15901694	0.34185547	0	0.376	0.034	0.11320126	0.950037	0.950037	0	0	6.303288e-05	0	0	0.005626	0.009978	0.5896	0.06570749
CD70	OSBP	0	Coding_Random	0.354696	0.075143	1	0.541	0.103	0.401	0	0.497	0.321	0.057007	1.045295	0.95379	0	0	0	0	0.0833	0.000859	0.00084	0.5665	0
RPUSD1	UTP14C	0	Coding_Random	0.28793252	0.08560289	0	0.477	0	0.255	0	0.3825661	0.17403801	0.095462	0.001178	0.001178	0	0	0	0	0.125	2.3e-05	3.7e-05	0.5677	0
VAV1	NOB1	0	Coding_Random	0.4387472	0.19408898	1	0.125	0.069	0.618	0	0.853	0.613	0.054837	0.999993	0.999993	0	0	0	0	0.0556	0.000364	0.000303	0.4357	0
VWF	DOHH	0	Coding_Random	0.957077	0.659896	0	0.629	0.369	0.42	0	0.529	0.055	0.054895	0.020102	0.020102	0	0	0	0	0	0.0013761477	0.0022159293	0.4947	0
C3	INPP5D	0	Coding_Random	0.643087	0.31135276	0	0.694	0.392	0.433	3.5e-05	0.788548	0.38826385	0.050673	1.167021	0.832159	0	0	0	0	0.0588	0.049496	0.082784	0.3062	0.115
PADI1	SAXO1	0	Coding_Random	0.32032478	0.11409315	0	0.263	0.206	0.432	0	0.4226382	0.19393747	0.09165173	0.45971882	0.297031	0	0	0	0	0	6e-06	1e-05	0.3142	0
ANKRD31	DUSP16	0	Coding_Random	0.39992258	0.16996358	0	0	0.148	0.474	0	0.87	0.64	0.109568	0.78328824	0.6018488	0	0	0	0	0.1667	6e-06	1.1e-05	0.4715	0
R3HCC1L	SERPINB11	0	Coding_Random	0.31899065	0.10655394	0	0.2863572	0.13803272	0.34368154	0	0.3993513	0.1791433	0.10564602	2.9e-05	2.8e-05	0	0	0	0	0.1364	0.0014342365	0.0024900215	0.5148	0.04837003
H2BC9	CDRT1	0	Coding_Random	0.37503275	0.14626898	0	0.477	0.159	0.643	4.5525953e-06	0.55601466	0.2638862	0.08491901	0.63900167	0.40817517	0	0.011118696	0.001199609	0.0057929014	0.13473919	0.0009665373	0.0015741502	0.48505625	0
APOBEC3D	CLDND1	0	Coding_Random	0.38369188	0.14595315	0	0.31718704	0.17809406	0.42351505	0	0.47649342	0.22339599	0.098863	0.590539	0.590492	0	0	0	0	0	0.0057633677	0.009964366	0.4538	0.06937713
CPT1C	TM7SF2	0	Coding_Random	0.3197318	0.10024154	0	0.205	0.189	0.566	0	0.26	0.088	0.090085	0.000733	0.000163	0	0	0	0	0	7.4e-05	0.000114	0.3185	0
OR1N1	USP20	0	Coding_Random	0.34088433	0.13794981	0	0	0.776	0.425	0	0.222	0.076	0.06064	0.004831	0.001056	0	0	0	0	0	1.6e-05	1.2e-05	0.48489267	0
CSN1S1	ACSL5	0	Coding_Random	0.3204368	0.12036082	0	0	0.094	0.243	0	0.19	0.062	0.107165	0.016772	0.016755	0	0	0	0	0.25	0.000349	0.000285	0.4993	0
TMEM132A	SHMT1	0	Coding_Random	0.48792	0.288811	0	0.477	0.251	0.74	0	0.978	0.648	0.102753	3e-06	3e-06	0	0	0.00079779956	0	0	0.000812	0.001361	0.6014	0
DMWD	CCSER2	0	Coding_Random	0.1467404	0.011574625	0	0.2006674	0.036592998	0.18502276	0	0.28862515	0.1383126	0.22374	0.483007	0.467203	0	0	0	0	0.3333	1.3e-05	8e-06	0.4953	0
SUSD2	LGMN	0	Coding_Random	0.413053	0.236528	0	0.69	0.198	0.435	0	0.292	0.028	0.095715	0.000975	0.000975	0	0	0	0	0.3125	0.00023	0.000241	0.3704	0
SLC15A2	UNC93B1	0	Coding_Random	0.346729	0.005209	0	0.445	0.127	0.274	4e-05	0.52367985	0.21104226	0.095565	0.513837	0.513837	0	0	0	0	0.2105	2.7e-05	3.5e-05	0.3349	0.256
AIMP1	C16orf90	0	Coding_Random	0.36946222	0.13993268	0	0.24894379	0.15705822	0.33789983	7.7961136e-07	0.3727375	0.16124934	0.11478289	0.002616	0.002197	0	0	0	0	0	0.00239	0.004234	0.5042694	0.07556026
ANKAR	SMCHD1	0	Coding_Random	0.211192	0.017233	1	0.36291555	0.19782616	0.49551603	0	1.116	0.714	0.08628598	1	1	0	0	0.00023212568	0	0.4737	3e-04	0.000514	0.5368	0.057797924
KLKB1	YTHDF1	0	Coding_Random	0.439616	0.217404	0	1	0.225	0	0	0.534	0.216	0.092284	0.98371	0.98371	0	0	0	0	0	0.00447	0.007282	0.5064	0
SLC4A1AP	CRNKL1	0	Coding_Random	0.267474	0.082838	0	0.3535614	0.19718015	0.4821273	9.7e-05	0.346	0.168	0.068905	0.881982	0.88198	0	0	0	0	0.2143	0.000295	1.3e-05	0.1279	0.038151536
MRPL49	ZDHHC11B	0	Coding_Random	0.3818181	0.15572546	0	0.115	0.291	0.665	0	0.4142663	0.19538726	0.060346	0.085531	0.000925	0	0	0.0019618028	0	0.125	0.000463	0.000817	0.4599	0
CTAGE6	GPATCH3	0	Coding_Random	0.32164586	0.10765903	0	0	0.095	0.484	0	0.40681753	0.20573157	0.10870001	0.366837	0.366836	0	0	0	0	0.1111	0.0013841273	0.0023196423	0.4884694	0
PRPF4B	LRRC31	0	Coding_Random	0.43556872	0.19048196	0	0.34672716	0.18173358	0.39214504	0	0.954	0.802	0.08722846	1.000005	0.999994	0	0	0	0	0.0556	0.000396	0.000697	0.4945	0.08770861
PLA2G4B	WIPI1	0	Coding_Random	0.197193	0.008192	0	0.32	0.319	0.675	0	0.344	0.052	0.057007	0.5235	0.5235	0	0	0	0	0.0476	1.5e-05	2.5e-05	0.5326	0
GPR182	ITGB3BP	0	Coding_Random	0.373869	0.202672	0	0.157	0.933	0	0	0.18	0.006	0.07632139	0.000874	0.000845	0	0	0	0	0.0769	7e-06	1.2e-05	0.4623	1
LRRC19	GDPD5	0	Coding_Random	0.173061	0.04485	0	0.203	0	0	0	0.189	0.087	0.130703	0.070037	0.069933	0	0	0.0025245291	0	0	7e-06	9e-06	0.6679	0
AMBN	ALDH9A1	0	Coding_Random	0.313359	0.180349	0	0.144	0.284	0.433	0	0.148	0.068	0.0929	3.1e-05	6e-06	0	0	0	0	0	0.002575	0.004569	0.5271	0
TTLL6	DLG2	0	Coding_Random	0.44442886	0.21110912	0	0.614	0.411	0.352	0	1.042	0.938	0.06966289	0.673545	0.673545	0	0	0	0	0	4.9e-05	8.6e-05	0.5658	0
UNC5D	HACE1	0	Coding_Random	0.204321	0.002383	0	0.143	0.136	0	0	1.072	0.71	0.060174	0.850798	0.847606	0	0	0	0	0.2222	4e-06	4e-06	0.4372	0
MT1HL1	AKAP9	0	Coding_Random	0.3622569	0.13591756	0	0.407	0.129	0.567	0	0.39654824	0.17436333	0.110464826	0.020085	0.020039	0	0	0	0	0.0476	0.0014442216	0.0024556108	0.5801	0
NLRP9	FAM166A	0	Coding_Random	0.29283074	0.089095175	0	0.3241044	0.17208886	0.36220264	0	0.32920185	0.12528281	0.11517757	0	0	0	0	0	0	0.1	5e-06	8e-06	0.2575	0.03755693
THAP12	DEFA5	0	Coding_Random	0.3219402	0.12583633	0	0.606	0.123	0	0	0.45192996	0.23022117	0.1041252	0.5311304	0.3831195	0	0	0	0	0	6e-05	7e-05	0.4971	0
SLC45A1	UNC5D	0	Coding_Random	0.216559	0.014621	0	0.042	0.145	0	0	1.16	0.622	0.10009056	0.894391	0.804013	0	0	0	0	0.35	1e-06	2e-06	0.4441	0
DAAM2	ITGB4	0	Coding_Random	0.4452136	0.1604323	1	0	0.395	1	0	0.305	0.025	0.052784	0.998286	0.998286	0	0	0	0	0.04	0.000121	0.000187	0.4988	0
ZNF780B	SORCS1	0	Coding_Random	0.23608764	0.054279406	0	0.367	0	0.166	0	0.435	0.213	0.166483	0.969566	0.969566	0	0	0	0	0.1053	2e-06	1e-06	0.4767	0
SND1	C6orf120	0	Coding_Random	0.33484095	0.14932632	0	0	0.142	0.344	0	0.934	0.468	0.121250845	1.046257	0.953577	0	0	0.0022032955	0	0.2667	0.004629	0.007764	0.462	0
CMBL	TEX15	0	Coding_Random	0.155513	0.016853	0	0	0	0	0	0.143	0.039	0.09464	0.007765	0.007765	0	0	0	0	0	0.00038	0.000673	0.4871	0
COL27A1	GALNT4	0	Coding_Random	0.39426574	0.15223525	0	0.131	0.223	0.378	0	0.6258617	0.299403	0.090085	1.112929	0.88707	0	0	0	0	0.0625	5.7e-05	6.9e-05	0.3721	0
LCA5L	TBC1D21	0	Coding_Random	0.25440103	0.07212759	0	0.491	0.603	0.114	0	0.282	0.1	0.18289	0.022329	0.022325	0	0	0.0009193293	0	0.25	1e-06	1e-06	0.4707	0
RFX2	KRT19	0	Coding_Random	0.759644	0.497557	1	0.441	0.336	0.529	0	0.861	0.683	0.070076	0.993446	0.985573	0	0	0	0	0.0526	0.00347	0.006145	0.4783	0
STK32B	WDR86	0	Coding_Random	0.204926	0.005478	0	0.34889725	0.11301346	0.32928705	0	0.546	0.374	0.10982591	0.004323	0.004323	0	0	0	0	0.3	2e-06	3e-06	0.5266	0.011896195
PRB2	ETNK1	0	Coding_Random	0.34982842	0.13460924	0	0.477	0.089	0.643	0	0.57237357	0.29882157	0.108816	0.86513	0.86513	0	0	0	0	0.0417	0.000723	0.001229	0.5142	0
OR4X1	GJB4	0	Coding_Random	0.34938326	0.12450708	0	0	0.588	0.611	0	0.201	0.101	0.084617	0.00016	0.000156	0	0	0	0	0	0.00095797505	0.0016815404	0.4942728	0
CHI3L2	COQ2	0	Coding_Random	0.244435	0.014855	0	0.173	0	0.108	0	0.28	0.092	0.068477	0.000225	0.000223	0	0	0	0	0.1111	1.2e-05	1.5e-05	0.576	0
SERINC5	RPTN	0	Coding_Random	0.24886498	0.051206466	0	0	0.128	0.551	0	0.217	0.045	0.11185063	0.00084	0.00084	0	0	0	0	0.2353	0.001957634	0.0034619386	0.4468	0
KRTAP2-1	PCOLCE	0	Coding_Random	0.4733393	0.20739439	0	0	0.641	0.191	0	0.999	0.547	0.072627805	0.92799616	0.5977021	0	0	0.0028633967	0	0	0.000752	0.0011	0.5538	0
ITGA2B	RNF113B	0	Coding_Random	0.200892	0.012169	0	0	0.091	0.331	0	0.432	0.234	0.094741	0.135209	0.135128	0	0	0	0	0.1	0.007411	0.013141	0.49345887	0
RDH5	TRAPPC11	0	Coding_Random	0.28356233	0.08165729	0	0.606	0.111	0.519	0	0.3822745	0.16532367	0.117717	0.000212	0.000206	0	0	0	0	0.0833	9.3e-05	5.9e-05	0.5148	0
RHOBTB2	TIMP2	0	Coding_Random	0.39924833	0.1355204	0	0.461	0.253	0.307	0	0.398	0.116	0.052784	1.035293	0.018443	0	0	0	0	0.1	0.000536	0.000938	0.3095	0.356
LLGL1	UGGT2	0	Coding_Random	0.3382401	0.11898413	1	0.572	0.14	0.454	0	0.608508	0.30468783	0.110212	0.977463	0.977463	0	0	0	0	0.2857	8.9e-05	0.000109	0.5864	0
SAMD5	ADRB2	0	Coding_Random	0.900929	0.702769	0	0.40830433	0.25843745	0.4480024	0	0.383	0.103	0.06895128	0.477391	0.475595	0	0	0	0	0.2778	2e-06	3e-06	0.5477	0.19726633
DPYS	ZNF787	0	Coding_Random	0.38232288	0.1379649	0	0.126	0	0	0	0.278	0.04	0.04551	0.741821	0.741821	0	0	0	0	0	0.0011061034	0.0018676489	0.5014	0
ZNF595	MROH6	0	Coding_Random	0.39355668	0.16224599	0	0.32443914	0.17223579	0.38669324	0	0.39778274	0.18877536	0.068477	1.8e-05	1.8e-05	0	0	0	0	0.090124935	0.0009625905	0.001571377	0.5383	0.07135034
GOLGA8H	CCDC121	0	Coding_Random	0.15554434	0.016616443	0	0.25863695	0.06971702	0.2530355	0	0.23034474	0.08448522	0.191477	0.000129	6.5e-05	0	0	0	0	0.4615	4e-06	4e-06	0.4089	0
FGFBP2	PCYOX1	0	Coding_Random	0.2580668	0.06273963	0	0	0.233	0	0	0.178	0.022	0.12463688	0	0	0	0	0	0	0.0455	0.000945	0.001534	0.4133	0
USP17L1	DNAH6	0	Coding_Random	0.31904763	0.12164589	0	0.123	0.287	0	0	0.441374	0.22443306	0.10790468	0.48704493	0.37144083	0	0	0.00018467281	0	0	0.00093847985	0.0016535323	0.5132293	0
EGFR	ZNF202	0	Coding_Random	1.138256	0.839646	1	0.464	0.214	0	0	1.125	0.875	0.054895	1.137408	0.859921	0	0	0	0	0.25	0.000178	0.000307	0.5333	0.208
THSD4	SMARCB1	0	Coding_Random	0.435109	0.1602	1	0.262	0	0.167	0	1.033	0.649	0.08280809	0.998626	0.994989	0	0	0	0	0.1875	0.000234	0.000351	0.6011	0.32
NCLN	WRNIP1	0	Coding_Random	0.351762	0.123111	1	1	0.168	0.596	0	1.225	0.063	0.049364	1.146809	0.12786	0	0	0	0	0.125	0.000929	0.000781	0.4493	0
H3-4	NDUFB9	0	Coding_Random	0.4077501	0.15765025	0	0.622	0.372	0.463	7.635278e-06	0.5557116	0.25318706	0.07852007	0.71312433	0.4364444	0	0.018663762	0.0053021503	0.021163454	0.13813983	0.0012650313	0.00204953	0.4787588	0
KIF25	KIAA0513	0	Coding_Random	0.195092	0.019542	0	0.29319188	0.13021262	0.35299715	0	0.191	0.105	0.107679	0.075831	0.075831	0	0	0	0	0.3846	5.4e-05	6.5e-05	0.6056	0
STON2	OR9Q2	0	Coding_Random	0.17891	0.014748	0	0.59	0.184	0.356	0	0.09	0	0.062285	0.568327	0.568326	0	0	0	0	0	0.0015614427	0.0028186038	0.51140004	0
POLR1B	OR8B12	0	Coding_Random	0.290285	0.109669	1	0.319	0.082	0.356	0	0.445	0.235	0.090085	1.090283	0.734133	0	0	0	0	0.1	0.0016260947	0.0028359508	0.50137454	0
TGFBR2	XRN1	0	Coding_Random	1.135597	0.492616	1	0.462	0.124	0.689	0	1.602	0.342	0.027046	1.03143	0.960245	0	0	0	0	0.3462	9.7e-05	0.000132	0.5643	0
KLRC4	COL27A1	0	Coding_Random	0.47369915	0.22274883	0	0.40535104	0.17972466	0.39243966	0	0.701	0.591	0.052784	1.001087	0.998912	0	0	0	0	0	4.9e-05	8.3e-05	0.675	0.09417184
CAPN13	AMHR2	0	Coding_Random	0.236441	0.080511	0	0.117	0.131	0.425	0	0.328	0.212	0.086064	1e-06	1e-06	0	0	0	0	0	1.2e-05	3e-06	0.4323	0
RANBP9	TCAF1	0	Coding_Random	0.37596267	0.14086087	1	0.824	0.17	0.425	0	0.62628555	0.28632104	0.08569529	0.77595675	0.43476936	0	0	0	0	0.0588	0.000129	0.000129	0.3762	0
SATB1	MEAK7	0	Coding_Random	0.33730757	0.112754375	1	1	0.115	0.393	0	0.6328579	0.29301712	0.085403346	0.7522606	0.47440454	0	0	0	0	0.13197723	0.000104	0.000115	0.5717	0
ADCY4	UBAP2	0	Coding_Random	0.250454	0.079173	0	0.33014855	0.14830647	0.3729423	0	0.453	0.299	0.103186	0.989509	0.989509	0	0	0	0	0.2857	0.000206	0.000365	0.4798	0.02887611
FYB1	ARHGDIA	0	Coding_Random	0.41309205	0.15875854	0	0.682	0.42	0.715	0	0.59637785	0.26312408	0.066657946	0.8534777	0.48612532	0	0	0	0	0.25	0.014518	0.024676	0.4793	0
KNTC1	PARP11	0	Coding_Random	0.254336	0.036644	0	0.158	0.133	0.657	0	0.905	0.033	0.05575	0.000159	0.000159	0	0	0	0	0.3529	5e-05	8.9e-05	0.433	0
ZNF592	UTP14C	0	Coding_Random	0.2206381	0.03774883	0	0.33327052	0.097706005	0.35943687	0	0.50361645	0.24154907	0.141924	0.950601	0.948244	0	0	0	0	0.5	5e-05	1e-05	0.4445	0
NUMB	CMTR2	0	Coding_Random	0.357455	0.116697825	1	0.106	0.048	0.61	0.00011	0.4235417	0.16831782	0.045499	0.024399	0.024399	0	0	0.0068607703	0	0.2857	0.000157	0.000263	0.3632	0
SMCO2	CARD9	0	Coding_Random	0.35561574	0.13167869	0	0.30793133	0.1768674	0.39217228	0	0.49380052	0.22526255	0.09975964	0.60154414	0.41382164	0	0	0	0	0.0667	2.4e-05	7e-06	0.49885336	0.06703534
AS3MT	GSTT4	0	Coding_Random	0.28545335	0.0803754	0	0	0	0	1.1189176e-06	0.40802854	0.19408734	0.12032608	0.46917394	0.36940235	0	0	0	0	0.111903794	0.0012616469	0.0021597524	0.49	0
CBX6	BSX	0	Coding_Random	0.4318751	0.17946568	0	0.328	0.8	1	0	0.60779923	0.27962002	0.095715	0.747246	0.474604	0	0	0	0	0	7e-06	1.2e-05	0.4883413	0
FLG	KLRD1	0	Coding_Random	0.3789044	0.1214286	1	0.553	0.135	0.388	0	0.163	0.005	0.060174	0.34698042	0.30693433	0	0	0	0	0	2.4e-05	2.8e-05	0.5406	0.274
TESK2	PCDH7	0	Coding_Random	0.229812	0.000752	0	0	0.21	0.36	0	1.108	0.658	0.115421	0.993893	0.63775516	0	0	0	0	0.0952	1.2e-05	3e-06	0.5393	0
RAD50	VIL1	0	Coding_Random	0.944687	0.228252	1	0.403	0.254	0.383	0	1.042	0.494	0.109132	1.2e-05	1.2e-05	0	0	0	0	0	0.0024074428	0.0028094538	0.5295	0.454
ATP5MPL	C3orf52	0	Coding_Random	0.34522945	0.11584559	0	0.3139079	0.17664106	0.41734076	0	0.51176584	0.23727305	0.09933076	0.6367945	0.43668643	0	0	0	0.0014498461	0.106647104	5.9e-05	0.000103	0.55	0.064409204
XIRP2	TBC1D26	0	Coding_Random	0.18535455	0.021323802	1	0.246	0.147	0	0	0.222	0.09	0.199561	0.861487	0.861487	0	0	0	0	0	4e-06	3e-06	0.4898	0
ACYP2	TGFBI	0	Coding_Random	0.908738	0.505554	1	0.667	0.401	0	0	0.649	0.305	0.116621	0.003943	0.003502	0	0	0	0	0	0.00132	0.001833	0.4346	0
CYP4X1	ARMC4	0	Coding_Random	0.30947232	0.11032658	0	0	0	0	0	0.104	0.028	0.059449	2e-06	2e-06	0	0	0	0	0.0667	2e-05	1e-06	0.499	0
WASF3	CCDC7	0	Coding_Random	0.20628	0.061423	0	0.376312	0.1428436	0.33351997	0	0.346	0.2	0.121786	0.960588	0.960588	0	0	0	0	0.125	3.8e-05	6.7e-05	0.5281	0
SLC29A3	OR51I2	0	Coding_Random	0.2899842	0.10343057	0	0.143	0	0.527	0	0.285	0.187	0.078238	0.000889	0.000889	0	0	3.347911e-05	0	0	8e-06	1.4e-05	0.5357	0
ECD	HFM1	0	Coding_Random	0.41367877	0.15334617	1	0	0.285	0	0	0.229	0.103	0.021114	0	0	0	0.186	0.043923188	0	0.4167	8.1e-05	0.000143	0.5323	0
RPL36	PI4K2B	0	Coding_Random	0.35982236	0.1094897	0	0.128	0.215	0.712	0	0.259	0.005	0.060174	0.665778	0.580466	0	0.171	0	0	0.2105	0.003576	0.006214	0.5721	0
DPM1	SPATA21	0	Coding_Random	0.41764507	0.13267814	0	0.40088338	0.17493643	0.42963332	0	1	0.078	0.097558	0.536751	0.536744	0	0	0	0	0.0667	0.000906	0.001608	0.5022	0.12486052
ZNF471	VTA1	0	Coding_Random	0.244795	0.038664	0	0.214	0	0.91	0	0.497	0.139	0.045499	0.082406	0.082406	0	0	0	0	0.1111	0.001384	0.002451	0.4308	0
